,order_id,plu_id,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_desc
711007,699505279,3639314,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
1983388,880845453,4135134,Корма для животных,Корма для кошек
1604508,752294989,4342589,Товары спец.акций_2,Товары спец.акций_3
218745,651979034,4307523,Молочная гастрономия,Традиц.кислом.прод-ия
1683491,793241777,2053627,Сопутствующие товары (Food),Целлюлозная и ватная продукция
506660,650019917,4101229,Кондитерские изделия (Food),"Зефир, мармелад, пастила"
1776592,823360509,3691087,Бакалея (Food),"Сухие завтраки, мюсли"
2409157,900798838,4370045,Молочная гастрономия,Соврем.кислом.прод-ия
421645,652958136,2102996,Кондитерские изделия (Food),"Печенье, крекер"
828803,694172853,3977406,"Соки, воды, пиво",Вода
734495,701006683,63021,Кондитерские изделия (Food),"Сухарики, снеки"
66705,661254030,4265957,Овощи - Фрукты,Овощи/Зелень
2157301,806411643,3617315,"Хлеб, хлебобулочные изделия (Food)",Сухарные изделия
523812,669573515,3448458,Молочная гастрономия,Сливки
1989280,885463912,3620512,Бакалея (Food),Макаронные изделия
1450311,752104478,2149541,"Хлеб, хлебобулочные изделия (Food)",Хлеб ржаной
650857,701833471,1546,Овощи - Фрукты,Овощи/Грибы
1874475,897982854,4201057,Сопутствующие товары (Food),Гигиена рта
110055,652858416,4198694,Мясная гастрономия,Колбасные изделия
506251,676076047,3496234,Детское питание (Food),Детские смеси
1926993,802138900,4280097,Молочная гастрономия,Сыры
1705453,872159129,3432532,Молочная гастрономия,Яйцо
