,plu_id,plu_hierarchy_lvl_2_desc,plu_width_amt,plu_depth_amt,plu_height_amt,Квант
726,4308549.0,Бакалея (Food),14.0,3.0,23.0,
727,4299052.0,Мясная гастрономия,12.0,4.0,8.5,
728,4250099.0,Сопутствующие товары (Food),7.0,4.0,19.0,
729,4293914.0,Замороженные продукты,9.5,9.5,8.5,
730,4263852.0,Молочная гастрономия,9.5,9.5,6.3,
731,3659872.0,Рыбная гастрономия,8.55,8.55,6.1,
732,3660652.0,Сопутствующие товары (Food),10.2,5.4,24.0,
733,4249824.0,Кондитерские изделия (Food),15.0,5.8,1.5,12.0
734,3609241.0,Замороженные продукты,11.8,22.7,2.5,
735,4007887.0,Бакалея (Food),10.0,3.0,13.0,30.0
736,3642230.0,Кондитерские изделия (Food),8.2,1.0,17.0,
737,3649825.0,Корма для животных,9.5,2.0,14.0,
738,4271464.0,Сопутствующие товары (Food),5.2,5.2,15.8,12.0
739,4309414.0,Сопутствующие товары (Food),10.0,20.0,18.2,24.0
740,4087113.0,"Готовая кулинария, салаты",15.0,15.0,4.5,
741,4020279.0,Мясная гастрономия,11.0,1.5,26.0,10.0
742,39501.0,Бакалея (Food),10.0,10.0,4.0,
743,4255264.0,Бакалея (Food),6.3,6.3,15.3,
744,4330914.0,Молочная гастрономия,13.0,5.5,14.3,10.0
745,2037765.0,Бакалея (Food),14.0,9.0,23.0,
746,90562.0,Детские товары (Food),6.0,3.0,8.5,
747,4045674.0,Сопутствующие товары (Food),7.4,4.6,24.5,
748,4108883.0,Замороженные продукты,19.0,3.0,19.0,
749,3656796.0,Кондитерские изделия (Food),13.5,21.5,6.8,
750,3669211.0,Сопутствующие товары (Food),9.2,4.9,21.0,
751,4070415.0,Сопутствующие товары (Food),12.0,14.0,2.5,
752,4377611.0,Диабетическое питание,12.0,6.0,24.0,12.0
753,4105726.0,Молочная гастрономия,5.5,5.5,16.0,
754,3424320.0,Детское питание (Fresh),6.5,6.5,3.0,12.0
755,3659091.0,Молочная гастрономия,7.7,6.7,24.0,6.0
756,4151584.0,Сопутствующие товары (Food),7.8,7.8,25.0,
757,3924969.0,Молочная гастрономия,9.2,5.7,13.0,
758,4300200.0,Замороженные продукты,9.0,8.0,10.0,
759,3948109.0,Детское питание (Food),13.5,4.0,14.0,
760,4203413.0,Корма для животных,5.0,13.5,21.0,
761,4333036.0,Сопутствующие товары (Food),15.5,8.0,26.3,
762,4239012.0,Бакалея (Food),15.5,6.0,24.0,6.0
763,4199549.0,Бакалея (Food),10.1,10.1,5.3,
764,3993018.0,Рыбная гастрономия,12.3,1.0,21.3,
765,4279821.0,Бакалея (Food),10.0,5.0,20.5,
766,4310914.0,Бакалея (Food),7.5,3.0,15.0,
767,4250426.0,Детское питание (Food),6.1,6.1,9.4,
768,4147243.0,Кондитерские изделия (Food),7.0,8.5,14.9,20.0
769,3408218.0,Бакалея (Food),8.5,5.0,14.5,
770,3633258.0,Замороженные продукты,27.0,12.0,4.5,
771,4278588.0,Товары для дома,2.3,7.9,19.3,
772,3017521.0,"Хлеб, хлебобулочные изделия (Food)",16.0,10.0,20.0,20.0
